iter	Passed	Remaining
292	1692	4084
293	1695	4072
294	1698	4059
295	1702	4048
296	1706	4038
297	1709	4027
298	1713	4017
299	1719	4012
300	1724	4004
301	1728	3994
302	1731	3982
303	1736	3976
304	1740	3965
305	1743	3954
306	1751	3953
307	1754	3942
308	1757	3931
309	1761	3919
310	1765	3911
311	1768	3900
312	1772	3889
313	1775	3878
314	1780	3871
315	1783	3861
316	1786	3848
317	1787	3833
318	1788	3817
319	1789	3802
320	1790	3787
321	1791	3772
322	1792	3757
323	1794	3743
324	1795	3729
325	1797	3715
326	1798	3701
327	1799	3686
328	1800	3672
329	1801	3658
330	1802	3643
331	1803	3629
332	1804	3615
333	1806	3601
334	1807	3587
335	1808	3573
336	1809	3560
337	1810	3546
338	1812	3533
339	1813	3519
340	1814	3506
341	1815	3492
342	1816	3479
343	1818	3467
344	1820	3456
345	1822	3443
346	1823	3431
347	1829	3427
348	1834	3421
349	1839	3416
350	1845	3412
351	1850	3405
352	1858	3407
353	1865	3403
354	1870	3399
355	1876	3394
356	1881	3388
357	1888	3386
358	1895	3383
359	1904	3385
360	1910	3382
361	1915	3376
362	1921	3372
363	1926	3366
364	1934	3365
365	1939	3359
366	1944	3353
367	1953	3355
368	1958	3348
369	1963	3344
370	1968	3338
371	1976	3336
372	1989	3344
373	2000	3348
374	2010	3350
375	2017	3347
376	2024	3345
377	2030	3341
378	2036	3336
379	2043	3333
380	2047	3327
381	2053	3322
382	2058	3315
383	2064	3311
384	2073	3312
385	2078	3306
386	2084	3301
387	2089	3295
388	2094	3289
389	2102	3287
390	2107	3282
391	2112	3275
392	2118	3271
393	2122	3264
394	2133	3267
395	2138	3262
396	2154	3272
397	2174	3288
398	2183	3288
399	2197	3295
400	2204	3292
401	2236	3327
402	2252	3336
403	2258	3331
404	2262	3324
405	2267	3316
406	2272	3311
407	2276	3303
408	2281	3296
409	2294	3301
410	2298	3294
411	2305	3290
412	2310	3284
413	2315	3277
414	2319	3270
415	2323	3262
416	2328	3254
417	2333	3249
418	2337	3241
419	2341	3233
420	2348	3230
421	2352	3222
422	2356	3214
423	2359	3206
424	2363	3198
425	2369	3192
426	2372	3183
427	2381	3182
428	2386	3176
429	2389	3167
430	2395	3162
431	2399	3154
432	2403	3146
433	2409	3141
434	2412	3133
435	2416	3126
436	2420	3117
437	2425	3111
438	2430	3105
439	2434	3098
440	2440	3092
441	2444	3086
442	2448	3078
443	2452	3071
444	2457	3064
445	2461	3057
446	2465	3049
447	2472	3046
448	2476	3038
449	2480	3032
450	2486	3026
451	2490	3018
452	2495	3013
453	2499	3006
454	2504	2999
455	2508	2992
456	2513	2985
457	2519	2981
458	2524	2975
459	2528	2967
460	2532	2960
461	2534	2951
462	2535	2940
463	2536	2930
464	2537	2919
465	2538	2909
466	2539	2898
467	2541	2888
468	2542	2878
469	2543	2868
470	2545	2858
471	2546	2848
472	2547	2838
473	2549	2829
474	2550	2819
475	2551	2809
476	2553	2799
477	2553	2789
478	2555	2779
479	2556	2769
480	2557	2759
481	2558	2749
482	2559	2740
483	2561	2730
484	2562	2720
485	2563	2711
486	2564	2701
487	2565	2691
488	2566	2682
489	2568	2673
490	2573	2668
491	2581	2665
492	2589	2662
493	2595	2658
494	2599	2652
495	2604	2646
496	2609	2641
497	2614	2635
498	2619	2629
499	2625	2625
500	2630	2620
501	2637	2616
502	2643	2611
503	2648	2606
504	2655	2602
505	2662	2599
506	2671	2597
507	2678	2594
508	2689	2594
509	2696	2590
510	2705	2589
511	2712	2585
512	2720	2582
513	2731	2583
514	2740	2580
515	2746	2576
516	2753	2572
517	2764	2572
518	2770	2567
519	2777	2563
520	2782	2557
521	2786	2551
522	2793	2547
523	2797	2541
524	2806	2539
525	2814	2536
526	2820	2531
527	2826	2526
528	2830	2520
529	2837	2516
530	2843	2511
531	2848	2505
532	2854	2500
533	2859	2495
534	2866	2491
535	2872	2486
536	2879	2482
537	2884	2477
538	2889	2471
539	2895	2466
540	2901	2461
541	2908	2457
542	2917	2455
543	2922	2449
544	2929	2445
545	2934	2440
546	2939	2434
547	2945	2429
548	2950	2423
549	2956	2418
550	2962	2413
551	2967	2408
552	2973	2403
553	2979	2398
554	2983	2391
555	2988	2386
556	2992	2379
557	2997	2374
558	3004	2370
559	3009	2364
560	3019	2362
561	3024	2357
562	3028	2350
563	3035	2346
564	3040	2340
565	3044	2334
566	3050	2329
567	3054	2323
568	3059	2317
569	3065	2312
570	3070	2306
571	3076	2301
572	3082	2297
573	3087	2291
574	3099	2291
575	3104	2285
576	3110	2280
577	3114	2274
578	3119	2268
579	3128	2265
580	3134	2260
581	3135	2252
582	3137	2244
583	3139	2236
584	3140	2227
585	3141	2219
586	3142	2210
587	3143	2202
588	3145	2194
589	3146	2186
590	3147	2178
591	3148	2169
592	3149	2161
593	3150	2153
594	3152	2146
595	3154	2138
596	3155	2130
597	3157	2122
598	3158	2114
599	3159	2106
600	3160	2098
601	3161	2090
602	3163	2082
603	3164	2074
604	3166	2067
605	3170	2061
606	3177	2057
607	3183	2052
608	3192	2049
609	3200	2046
610	3212	2045
611	3224	2044
612	3233	2041
613	3241	2037
614	3247	2033
615	3253	2027
616	3259	2023
617	3267	2019
618	3272	2014
619	3280	2010
620	3287	2006
621	3296	2003
622	3303	1998
623	3315	1998
624	3326	1996
625	3333	1991
626	3348	1991
627	3354	1986
628	3360	1981
629	3365	1976
630	3372	1972
631	3377	1966
632	3382	1961
633	3388	1956
634	3393	1950
635	3402	1947
636	3408	1942
637	3415	1937
638	3420	1932
639	3424	1926
640	3436	1924
641	3441	1919
642	3449	1915
643	3453	1909
644	3458	1903
645	3465	1899
646	3469	1893
647	3477	1889
648	3482	1883
649	3490	1879
650	3496	1874
651	3503	1869
652	3511	1865
653	3515	1860
654	3520	1854
655	3526	1849
656	3531	1843
657	3536	1838
658	3541	1832
659	3546	1826
660	3552	1821
661	3557	1816
662	3561	1810
663	3568	1805
664	3574	1800
665	3581	1796
666	3586	1790
667	3590	1784
668	3594	1778
669	3600	1773
670	3604	1767
671	3608	1761
672	3614	1756
673	3619	1750
674	3623	1744
675	3630	1740
676	3634	1734
677	3638	1728
678	3644	1722
679	3649	1717
680	3653	1711
681	3659	1706
682	3665	1701
683	3669	1695
684	3679	1692
685	3686	1687
686	3708	1689
687	3714	1684
688	3724	1681
689	3729	1675
690	3739	1671
691	3746	1667
692	3755	1663
693	3763	1659
694	3775	1656
695	3780	1651
696	3786	1645
697	3791	1640
698	3795	1634
699	3801	1629
700	3805	1623
701	3809	1617
702	3817	1612
703	3822	1607
704	3826	1601
705	3835	1597
706	3839	1591
707	3847	1586
708	3852	1581
709	3856	1575
710	3860	1569
711	3865	1563
712	3869	1557
713	3872	1551
714	3877	1545
715	3881	1539
716	3887	1534
717	3896	1530
718	3910	1528
719	3917	1523
720	3922	1517
721	3928	1512
722	3932	1506
723	3936	1500
724	3941	1495
725	3945	1488
726	3948	1482
727	3957	1478
728	3961	1472
729	3965	1466
730	3974	1462
731	3980	1457
732	3989	1453
733	4003	1450
734	4007	1444
735	4011	1438
736	4015	1433
737	4020	1427
738	4024	1421
739	4027	1415
740	4034	1410
741	4037	1403
742	4042	1398
743	4049	1393
744	4054	1387
745	4060	1382
746	4065	1376
747	4071	1371
748	4080	1367
749	4086	1362
750	4095	1357
751	4099	1351
752	4103	1346
753	4112	1341
754	4116	1335
755	4119	1329
756	4125	1324
757	4128	1318
758	4132	1312
759	4136	1306
760	4141	1300
761	4145	1294
762	4149	1288
763	4158	1284
764	4162	1278
765	4166	1272
766	4173	1267
767	4179	1262
768	4186	1257
769	4190	1251
770	4194	1245
771	4200	1240
772	4204	1234
773	4208	1228
774	4212	1223
775	4217	1217
776	4221	1211
777	4224	1205
778	4228	1199
779	4235	1194
780	4240	1188
781	4245	1183
782	4250	1178
783	4254	1172
784	4259	1166
785	4266	1161
786	4271	1156
787	4279	1151
788	4285	1146
789	4292	1141
790	4296	1135
791	4302	1130
792	4308	1124
793	4312	1118
794	4315	1112
795	4322	1107
796	4326	1101
797	4330	1096
798	4336	1090
799	4340	1085
800	4343	1079
801	4347	1073
802	4351	1067
803	4356	1062
804	4360	1056
805	4363	1050
806	4370	1045
807	4373	1039
808	4378	1033
809	4387	1029
810	4391	1023
811	4394	1017
812	4399	1011
813	4402	1005
814	4405	1000
815	4409	994
816	4414	988
817	4417	982
818	4420	977
819	4424	971
820	4430	965
821	4434	960
822	4438	954
823	4444	949
824	4448	943
825	4452	937
826	4456	932
827	4460	926
828	4464	920
829	4467	915
830	4473	909
831	4478	904
832	4481	898
833	4485	892
834	4489	887
835	4494	881
836	4497	875
837	4501	870
838	4506	864
839	4510	859
840	4514	853
841	4520	848
842	4525	842
843	4529	837
844	4535	831
845	4538	826
846	4542	820
847	4546	815
848	4552	809
849	4557	804
850	4562	798
851	4571	794
852	4577	788
853	4584	783
854	4588	778
855	4596	773
856	4599	767
857	4603	761
858	4607	756
859	4611	750
860	4614	744
861	4618	739
862	4621	733
863	4625	728
864	4628	722
865	4631	716
866	4634	711
867	4640	705
868	4643	699
869	4646	694
870	4649	688
871	4651	682
872	4655	677
873	4659	671
874	4662	666
875	4666	660
876	4670	655
877	4674	649
878	4678	643
879	4681	638
880	4686	633
881	4689	627
882	4692	621
883	4696	616
884	4699	610
885	4702	605
886	4706	599
887	4709	593
888	4712	588
889	4716	582
890	4719	577
891	4722	571
892	4725	566
893	4733	561
894	4736	555
895	4739	550
896	4743	544
897	4748	539
898	4754	534
899	4761	529
900	4765	523
901	4768	518
902	4771	512
903	4776	507
904	4780	501
905	4783	496
906	4786	490
907	4789	485
908	4793	479
909	4797	474
910	4800	468
911	4803	463
912	4807	458
913	4810	452
914	4814	447
915	4817	441
916	4822	436
917	4825	431
918	4828	425
919	4831	420
920	4836	414
921	4840	409
922	4842	404
923	4846	398
924	4850	393
925	4854	387
926	4857	382
927	4861	377
928	4868	372
929	4871	366
930	4874	361
931	4877	355
932	4882	350
933	4885	345
934	4888	339
935	4891	334
936	4894	329
937	4898	323
938	4902	318
939	4905	313
940	4908	307
941	4912	302
942	4916	297
943	4919	291
944	4922	286
945	4927	281
946	4930	275
947	4934	270
948	4937	265
949	4941	260
950	4945	254
951	4948	249
952	4951	244
953	4956	238
954	4959	233
955	4963	228
956	4966	223
957	4969	217
958	4973	212
959	4976	207
960	4981	202
961	4984	196
962	4988	191
963	4991	186
964	4995	181
965	4998	175
966	5004	170
967	5008	165
968	5011	160
969	5014	155
970	5020	149
971	5023	144
972	5026	139
973	5029	134
974	5038	129
975	5042	123
976	5051	118
977	5055	113
978	5058	108
979	5062	103
980	5067	98
981	5070	92
982	5073	87
983	5076	82
984	5079	77
985	5084	72
986	5087	67
987	5090	61
988	5095	56
989	5099	51
990	5103	46
991	5106	41
992	5110	36
993	5114	30
994	5117	25
995	5121	20
996	5126	15
997	5129	10
998	5133	5
999	5136	0
